time,open,high,low,close,volume
2024-09-13,110.51,111.51,110.34,111.18,3191984
2024-09-16,110.17,111.18,109.59,109.59,1921844
2024-09-17,109.67,111.09,109.67,111.09,2656869
2024-09-18,111.51,113.02,111.09,112.51,5390349
2024-09-19,112.85,113.52,112.26,113.02,5162767
2024-09-20,113.94,114.52,112.85,113.1,3728818
2024-09-23,113.6,113.6,111.51,112.01,2449563
2024-09-24,112.01,112.6,111.76,112.43,2017214
2024-09-25,112.26,112.68,111.68,112.68,4486319
2024-09-26,112.85,112.85,111.93,112.26,2821536
2024-09-27,112.26,112.35,111.59,112.18,3358474
2024-09-30,112.18,112.43,111.18,112.43,3037449
2024-10-01,112.6,113.85,112.6,113.6,4732079
2024-10-02,112.51,113.6,112.51,113.18,1725815
2024-10-03,113.18,113.77,112.01,112.01,2306560
2024-10-04,112.26,112.68,111.59,112.1,1473158
2024-10-07,112.18,112.76,111.68,112.1,1336595
2024-10-08,112.1,112.93,111.68,111.85,2114750
2024-10-09,112.26,113.52,112.26,113.18,2626409
2024-10-10,113.52,118.7,113.52,118.45,9980507
2024-10-11,118.7,119.37,116.69,116.69,3824418
2024-10-14,117.95,118.11,114.6,115.02,5616349
2024-10-15,115.02,115.86,114.19,114.52,2869640
2024-10-16,114.02,114.6,113.68,113.94,2762322
2024-10-17,114.1,114.6,113.27,114.52,2584896
2024-10-18,114.85,115.19,114.19,114.52,2175065
2024-10-21,114.52,115.11,113.27,113.27,2688428
2024-10-22,113.43,113.43,111.18,111.26,6022016
2024-10-23,111.09,112.68,110.84,112.18,3019672
2024-10-24,112.18,112.26,111.85,112.26,2281798
2024-10-25,112.26,112.51,111.68,112.01,1843711
2024-10-28,112.1,112.85,111.68,112.76,1509996
2024-10-29,113.18,113.27,112.68,113.18,2462885
2024-10-30,113.18,113.6,113.02,113.6,1713550
2024-10-31,113.6,113.68,113.1,113.6,1244928
2024-11-01,112.85,112.85,111.68,112.51,2676189
2024-11-04,112.51,112.51,110.93,111.01,3188263
2024-11-05,111.18,112.01,110.59,110.84,1663185
2024-11-06,111.26,112.51,111.18,112.51,1805646
2024-11-07,113.1,115.02,112.18,112.93,3579749
2024-11-08,113.77,114.35,112.93,113.52,2110766
2024-11-11,114.1,116.61,113.68,115.61,5301235
2024-11-12,115.86,116.11,113.6,114.35,2921656
2024-11-13,114.27,115.44,113.77,115.19,3460835
2024-11-14,115.27,116.94,113.68,113.68,4743684
2024-11-15,113.1,113.43,110.84,111.93,6574421
2024-11-18,112.01,112.51,110.76,112.01,3910975
2024-11-19,111.59,111.68,108.59,108.67,7652727
2024-11-20,108.67,110.68,105.91,110.68,8474055
2024-11-21,110.68,111.18,109.5,111.18,3183165
2024-11-22,111.09,112.35,110.76,111.93,2920914
2024-11-25,112.01,112.01,111.34,111.93,1855059
2024-11-26,111.51,113.6,111.43,113.02,4182343
2024-11-27,113.02,116.78,113.02,116.11,9826373
2024-11-28,116.53,117.03,115.61,116.53,4750858
2024-11-29,116.53,121.54,116.19,120.62,11617080
2024-12-02,121.46,122.89,119.19,119.69,6629554
2024-12-03,119.27,122.81,119.27,122.05,5115471
2024-12-04,122.05,123.14,120.2,120.79,5618586
2024-12-05,121.21,125.0,120.87,125.0,4862983
2024-12-06,127.86,127.86,124.57,125.84,4554818
2024-12-09,125.58,125.84,122.98,123.73,4551406
2024-12-10,123.82,125.84,123.73,125.84,3603755
